ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
66,97.50,square_kernel,square_kernel,4.06,3.96,0.05,0.91,18,"    1,    1,    1","  128,    1,    1"
97,97.50,square_kernel,square_kernel,4.03,3.93,0.05,0.94,18,"    1,    1,    1","  128,    1,    1"
22,97.50,square_kernel,square_kernel,4.06,3.96,0.05,0.91,18,"    1,    1,    1","  128,    1,    1"
35,97.50,square_kernel,square_kernel,4,3.90,0.05,0.92,18,"    1,    1,    1","  128,    1,    1"
71,97.50,square_kernel,square_kernel,4.06,3.96,0.05,0.91,18,"    1,    1,    1","  128,    1,    1"
73,97.50,square_kernel,square_kernel,4.03,3.93,0.05,0.92,18,"    1,    1,    1","  128,    1,    1"
10,97.50,square_kernel,square_kernel,4.03,3.93,0.05,0.91,18,"    1,    1,    1","  128,    1,    1"
108,97.50,square_kernel,square_kernel,4.06,3.96,0.05,0.91,18,"    1,    1,    1","  128,    1,    1"
29,97.50,square_kernel,square_kernel,4.03,3.93,0.05,0.95,18,"    1,    1,    1","  128,    1,    1"
56,97.50,square_kernel,square_kernel,4.03,3.93,0.05,0.91,18,"    1,    1,    1","  128,    1,    1"
21,97.50,square_kernel,square_kernel,4,3.90,0.05,0.92,18,"    1,    1,    1","  128,    1,    1"
7,97.50,square_kernel,square_kernel,4.03,3.93,0.05,0.92,18,"    1,    1,    1","  128,    1,    1"
25,97.50,square_kernel,square_kernel,4.03,3.93,0.05,0.92,18,"    1,    1,    1","  128,    1,    1"
83,97.50,square_kernel,square_kernel,4.03,3.93,0.05,0.91,18,"    1,    1,    1","  128,    1,    1"
67,97.50,square_kernel,square_kernel,4,3.90,0.05,0.92,18,"    1,    1,    1","  128,    1,    1"
61,97.50,square_kernel,square_kernel,4.03,3.93,0.05,0.92,18,"    1,    1,    1","  128,    1,    1"
19,97.50,square_kernel,square_kernel,4.03,3.93,0.05,0.92,18,"    1,    1,    1","  128,    1,    1"
1,97.50,square_kernel,square_kernel,4.03,3.93,0.05,0.91,18,"    1,    1,    1","  128,    1,    1"
79,97.50,square_kernel,square_kernel,4,3.90,0.05,0.92,18,"    1,    1,    1","  128,    1,    1"
39,97.50,square_kernel,square_kernel,4.06,3.96,0.05,0.92,18,"    1,    1,    1","  128,    1,    1"
95,97.50,square_kernel,square_kernel,4,3.90,0.05,0.95,18,"    1,    1,    1","  128,    1,    1"
36,97.50,square_kernel,square_kernel,4.10,3.99,0.05,0.90,18,"    1,    1,    1","  128,    1,    1"
31,97.50,square_kernel,square_kernel,4,3.90,0.05,0.92,18,"    1,    1,    1","  128,    1,    1"
62,97.50,square_kernel,square_kernel,4.03,3.93,0.05,0.94,18,"    1,    1,    1","  128,    1,    1"
